"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[558727] Report(S910000)", ,"S910000[00100]","S910000[00200]","S910000[00300]", ,"S910000[00500]","S910000[00600]"
"Line(00100)", , ,"1", , , ,"1"
"Line(00200)", ,"35853","4251","3171", ,"6580","46684"
"Line(00300)", ,"332","16","4", ,"50","398"
"Line(00400)", ,"785","160", , ,"281","1226"
"Line(00500)", ,"36970","4428","3175", ,"6911","48309"
"Line(00600)", ,"836","105","47", ,"217","1158"
"Line(00800)", ,"44","42","68", ,"32","42"
