"","PART I - ANALYSIS OF CHANGES IN CAPITAL ASSET BALANCES","","","","","","","","",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Report (A700001)", ,"A700001[00100]","A700001[00200]", ,"A700001[00400]","A700001[00500]","A700001[00600]"
"Line(00100)", ,"15629908","3428278", ,"3428278", ,"19058186"
"Line(00200)", ,"1611056","281621", ,"281621", ,"1892677"
"Line(00300)", ,"1919004860","59612180", ,"59612180","56030326","1922586714"
"Line(00400)", ,"872277964","142901541", ,"142901541", ,"1015179505"
"Line(00800)", ,"2147483647","206223620", ,"206223620","56030326","2147483647"
