"Report (CI.csv)","CI.csv[00000]","CI.csv[00100]","CI.csv[00200]","CI.csv[00300]","CI.csv[00400]","CI.csv[00500]","CI.csv[00600]","CI.csv[00700]","CI.csv[00800]","CI.csv[00900]","CI.csv[01000]","CI.csv[01100]","CI.csv[01200]","CI.csv[01300]","CI.csv[01400]","CI.csv[01500]","CI.csv[01600]","CI.csv[01700]","CI.csv[01800]","CI.csv[01900]","CI.csv[02000]","CI.csv[02100]","CI.csv[02200]","CI.csv[02300]","CI.csv[02400]","CI.csv[02500]","CI.csv[02600]","CI.csv[02700]","CI.csv[02800]","CI.csv[02900]","CI.csv[03000]","CI.csv[03100]","CI.csv[03200]","CI.csv[03300]","CI.csv[03400]","CI.csv[03500]","CI.csv[03600]","CI.csv[03700]","CI.csv[03800]","CI.csv[03900]","CI.csv[04000]","CI.csv[04100]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"CI.csv[08100]", , ,"CI.csv[08400]", , ,"CI.csv[08700]"
"Line(00000)", ,"PART I - ANALYSIS OF CHANGES IN CAPITAL ASSET BALANCES"
"Line(00001)", , , , , ,"Acquisitions", , ,"Disposals", ,"Fully"
"Line(00002)", , , , ,"Beginning", , , ,"and","Ending","Depreciated"
"Line(00003)", , ,"Description", ,"Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"Line(00004)", , , , ,"1","2","3","4","5","6","7"
"Line(00005)","4090 (Cont.)", , ," FORM CMS-2552-10", , , , ,"08-11"
"Line(00006)","STATEMENT OF COSTS OF SERVICES", , , ," PROVIDER CCN:"," PERIOD:"," WORKSHEET A-8-1", ,""
"Line(00007)","FROM RELATED ORGANIZATIONS AND", , , , ," FROM ____________", , ,""
"Line(00008)","HOME OFFICE COSTS", , , ," ________________"," TO _______________", , ,""
"Line(00009)", , , , , , , , ,""
"Line(00010)","A. ","COSTS INCURRED AND ADJUSTMENTS REQUIRED AS A RESULT OF TRANSACTIONS WITH RELATED ORGANIZATIONS OR", , , , , , ,""
"Line(00011)", ,"CLAIMED HOME OFFICE COSTS:", , , , , , ,""
"Line(00012)", , , , , ,"Amount","Net", ,""
"Line(00013)", , , , ,"Amount of","included in","Adjustments","Wkst.",""
"Line(00014)", , , , ,"Allowable","Wkst. A","(col. 4 minus","A-7",""
"Line(00015)", ,"Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.",""
"Line(00016)", ,"1","2","3","4","5","6","7",""
"Line(00017)","1 ", , , , , , , ,"1 "
"Line(00018)","08-11", , , ,"FORM CMS-2552-10", , , , , ,"         4090 (Cont.)"
"Line(00019)","PROVIDER-BASED PHYSICIANS ADJUSTMENTS", , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET A-8-2",""
"Line(00020)", , , , , , , ," FROM ____________", , ,""
"Line(00021)", , , , , ," ________________", ," TO _______________", , ,""
"Line(00022)", , ,"Cost Center/", , , , ,"Physician/", ,"5 Percent of",""
"Line(00023)", ,"Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"Line(00024)", ,"Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"Line(00025)", ,"1","2","3","4","5","6","7","8","9",""
"Line(00026)","1 ", , , , , , , , , ,"1 "
"Line(00027)","2 ", , , , , , , , , ,"2 "
"Line(00028)","3 ", , , , , , , , , ,"3 "
"Line(00029)","4 ", , , , , , , , , ,"4 "
"Line(00030)","5 ", , , , , , , , , ,"5 "
"Line(00031)","6 ", , , , , , , , , ,"6 "
"Line(00032)","7 ", , , , , , , , , ,"7 "
"Line(00033)","4090 (Cont.)", , ,"FORM CMS-2552-10", , , , ,"08-11", , , , ,""
"Line(00034)","REASONABLE COST DETERMINATION FOR THERAPY SERVICES", , , , ," PROVIDER CCN:"," PERIOD:","\" WORKSHEET A-8-3","\"", , , , , ,""
"Line(00035)","FURNISHED BY OUTSIDE SUPPLIERS", , , , , ," FROM ____________"," PARTS I & II", , , , , ,""
"Line(00036)", , , , , ," ________________"," TO _______________", , , , , , ,""
"Line(00037)","Check applicable box:", ,"      [ ] Occupational          [ ] Physical          [ ] Respiratory          [ ] Speech Pathology", , , , , , , , , , ,""
"Line(00038)", , , , , , , , , , , , , ,""
"Line(00039)","PART I - GENERAL INFORMATION", , , , , , , , , , , , ,""
"Line(00040)","1 "," Total number of weeks worked (excluding aides) (see instructions)", , , , , , ,"1 ", , , , ,""
"Line(00041)","2 "," Line 1 multiplied by 15 hours per week", , , , , , ,"2 ", , , , ,""
"Line(00042)","3 "," Number of unduplicated days in which supervisor or therapist was on provider site (see instructions)", , , , , , ,"3 ", , , , ,""
"Line(00043)","4 "," Number of unduplicated days in which therapy assistant was on provider site but neither supervisor nor therapist was on provider site (see instructions)", , , , , , ,"4 ", , , , ,""
"Line(00044)","5 "," Number of unduplicated offsite visits - supervisors or therapists (see instructions)", , , , , , ,"5 ", , , , ,""
"Line(00045)","6 "," Number of unduplicated offsite visits - therapy assistants (include only visits made by therapy assistant and on which", , , , , , ,"6 ", , , , ,""
"Line(00046)", ,"  supervisor and/or therapist was not present during the visit(s)) (see instructions)", , , , , , , , , , , ,""
"Line(00047)","7 "," Standard travel expense rate", , , , , , ,"7 ", , , , ,""
"Line(00048)","8 "," Optional travel expense rate per mile", , , , , , ,"8 ", , , , ,""
"Line(00049)", , , ,"Supervisors","dcr","Assistants","Aides","Trainees", , , , , ,""
"Line(00050)", , , ,"1","2","3","4","5", , , , , ,""
"Line(00051)","9 "," Total hours worked", , , , , , ,"9 ", , , , ,""
"Line(00052)","10 "," AHSEA (see instructions)", , , , , , ,"10 ", , , , ,""
"Line(00053)","11 ","\" Standard travel allowance (columns 1 and 2"," one-half of column 2","\"", , , , , , ,"11 ", , , , ,""
"Line(00054)", ,"\"  line 10; column 3"," one-half of column 3"," line 10)\"", , , , , , , , , , , ,""
"Line(00055)","12 "," Number of travel hours (see instructions)", , , , , , ,"12 ", , , , ,""
"Line(00056)","13 "," Number of miles driven (see instructions)", , , , , , ,"13 ", , , , ,""
"Line(00057)","08-11", , , ,"FORM CMS-2552-10", , , , , ,"4090 (Cont.)","4090 (Cont.)", , , ,"FORM CMS-2552-10", , , , , , , ,"08-11","08-11", , , ,"FORM CMS-2552-10", , , , , , ,"4090 (Cont.)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00058)","COST ALLOCATION - STATISTICAL BASIS", , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET B-1", ,"COST ALLOCATION - STATISTICAL BASIS", , , , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET B-1", ,"COST ALLOCATION - STATISTICAL BASIS", , , , , ," PROVIDER CCN:", ," PERIOD:", ," WORKSHEET B-1", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00059)", , , , , , , ," FROM ____________", , , , , , , , , , , , ," FROM ____________", , , , , , , , , , , ," FROM ____________", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00060)", , , , , ," ________________", ," TO _______________", ," ", , , , , , , , ," ________________", ," TO _______________", , , , , , , , , ," ________________", ," TO _______________", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00061)", , , ,"CAPITAL RELATED COST", ," ", ,"ADMINIS-","MAIN-", , , , ,"LAUNDRY", , , ,"MAIN-","NURSING","CENTRAL", ,"MEDICAL", , , , , ,"NON-", ,"INTERNS & RESIDENTS", ,"PARA-", ,"INTERN &", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00062)", , , ,"BLDGS. &","MOVABLE","EMPLOYEE", ,"TRATIVE &","TENANCE &","OPERATION", , , ,"& LINEN","HOUSE-", , ,"TENANCE OF","ADMINIS-","SERVICES &", ,"RECORDS &","SOCIAL", , , ,"OTHER","PHYSICIAN","NURSING","SALARY AND","PROGRAM","MEDICAL", ,"RESIDENT ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00063)", , , ,"FIXTURES","EQUIPMENT","BENEFITS", ,"GENERAL","REPAIRS","OF PLANT", , , ,"SERVICE","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE", , , ,"GENERAL","ANES-","SCHOOL","FRINGES","COSTS","EDUCATION", ,"COST & POST", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00064)", ,"COST CENTER DESCRIPTIONS", ,"(SQUARE","(DOLLAR","(GROSS","RECONCIL-","(ACCUM.","(SQUARE","(SQUARE", , ,"COST CENTER DESCRIPTIONS","(POUNDS OF","(HOURS OF","(MEALS","(MEALS","(NUMBER","(DIRECT","(COSTED","(COSTED","(TIME","(TIME", , ,"COST CENTER DESCRIPTIONS","SERVICE","THETISTS","(ASSIGNED","(ASSIGNED","(ASSIGNED","(ASSIGNED", ,"STEPDOWN", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00065)", , , ,"FEET)","VALUE)","SALARIES)","IATION","COST)","FEET)","FEET)", , , ,"LAUNDRY)","SERVICE)","SERVED)","SERVED)","HOUSED)","NURS. HRS)","REQUIS.)","REQUIS.)","SPENT)","SPENT)", , , ,"(SPECIFY)","(ASGND TIME)","TIME)","TIME)","TIME)","TIME)","SUBTOTAL"," ADJUSTMENTS","TOTAL", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00066)", , , ,"1 ","2 ","4 ","5A","5 ","6 ","7 ", , , ,"8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ", , , ,"18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 ","26 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00067)", ,"GENERAL SERVICE COST CENTERS", ," "," "," "," "," "," "," ", , ,"GENERAL SERVICE COST CENTERS"," "," "," "," "," "," "," "," "," "," ", , ,"GENERAL SERVICE COST CENTERS"," "," "," "," "," "," "," "," "," ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00068)","1 "," Capital Related Costs-Buildings and Fixtures", , ," "," ", , , , ,"1 ","1 "," Capital Related Costs-Buildings and Fixtures", , , , , , , , , , ,"1 ","1 "," Capital Related Costs-Buildings and Fixtures", , , , , , , , , ,"1 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00069)","2 "," Capital Related Costs-Movable Equipment", ," ", ," ", , , , ,"2 ","2 "," Capital Related Costs-Movable Equipment", , , , , , , , , , ,"2 ","2 "," Capital Related Costs-Movable Equipment", , , , , , , , , ,"2 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00070)","4 "," Employee Benefits", , , , , , , , ,"4 ","4 "," Employee Benefits", , , , , , , , , , ,"4 ","4 "," Employee Benefits", , , , , , , , , ,"4 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00071)","5 "," Administrative and General", , , , , , , , ,"5 ","5 "," Administrative and General", , , , , , , , , , ,"5 ","5 "," Administrative and General", , , , , , , , , ,"5 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00072)","6 "," Maintenance and Repairs", , , , , , , , ,"6 ","6 "," Maintenance and Repairs", , , , , , , , , , ,"6 ","6 "," Maintenance and Repairs", , , , , , , , , ,"6 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00073)","7 "," Operation of Plant", , , , , , , , ,"7 ","7 "," Operation of Plant", , , , , , , , , , ,"7 ","7 "," Operation of Plant", , , , , , , , , ,"7 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00074)","8 "," Laundry and Linen Service", , , , , , , , ,"8 ","8 "," Laundry and Linen Service", , , , , , , , , , ,"8 ","8 "," Laundry and Linen Service", , , , , , , , , ,"8 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00075)","9 "," Housekeeping", , , , , , , , ,"9 ","9 "," Housekeeping", , , , , , , , , , ,"9 ","9 "," Housekeeping", , , , , , , , , ,"9 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00076)","10 "," Dietary", , , , , , , , ,"10 ","10 "," Dietary", , , , , , , , , , ,"10 ","10 "," Dietary", , , , , , , , , ,"10 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00077)","11 "," Cafeteria", , , , , , , , ,"11 ","11 "," Cafeteria", , , , , , , , , , ,"11 ","11 "," Cafeteria", , , , , , , , , ,"11 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00078)","12 "," Maintenance of Personnel", , , , , , , , ,"12 ","12 "," Maintenance of Personnel", , , , , , , , , , ,"12 ","12 "," Maintenance of Personnel", , , , , , , , , ,"12 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00079)","13 "," Nursing Administration", , , , , , , , ,"13 ","13 "," Nursing Administration", , , , , , , , , , ,"13 ","13 "," Nursing Administration", , , , , , , , , ,"13 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
"Line(00080)","14 "," Central Services and Supply", , , , , , , , ,"14 ","14 "," Central Services and Supply", , , , , , , , , , ,"14 ","14 "," Central Services and Supply", , , , , , , , , ,"14 ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,""
